Product ID,Cost,Conversions,Conv. value
SKU-TOP-001,"1,320.98",6.1,"6,223.54"
SKU-TOP-002,994.17,11.5,"4,286.83"
SKU-TOP-003,975.40,11.1,"3,757.72"
SKU-TOP-004,"1,463.74",5.0,"5,748.10"
SKU-TOP-005,"1,451.87",15.6,"5,768.75"
SKU-TOP-006,"1,190.21",12.8,"6,101.96"
SKU-TOP-007,"1,650.23",9.6,"8,526.34"
SKU-TOP-008,960.56,16.0,"4,039.59"
SKU-TOP-009,"1,087.53",5.6,"4,602.29"
SKU-TOP-010,"1,960.96",6.5,"9,048.34"
SKU-TOP-011,"1,730.59",9.2,"7,903.33"
SKU-TOP-012,981.63,4.8,"4,013.24"
SKU-TOP-013,"2,050.00",9.0,"1,845.00"
SKU-TOP-014,"1,880.00",7.0,"2,632.00"
SKU-TAIL-001,740.20,0,0.00
SKU-TAIL-002,613.80,0,0.00
SKU-TAIL-003,557.07,0,0.00
SKU-TAIL-004,692.78,0,0.00
SKU-TAIL-005,626.59,0,0.00
SKU-TAIL-006,549.88,0,0.00
SKU-TAIL-007,797.19,0,0.00
SKU-TAIL-008,749.50,0,0.00
SKU-TAIL-009,522.05,0,0.00
SKU-TAIL-010,687.21,0,0.00
SKU-TAIL-011,662.60,0,0.00
SKU-TAIL-012,837.57,0,0.00
SKU-TAIL-013,764.72,0,0.00
SKU-TAIL-014,543.97,0,0.00
SKU-TAIL-015,890.09,0,0.00
SKU-TAIL-016,459.03,0,0.00
SKU-TAIL-017,609.06,0,0.00
SKU-TAIL-018,778.57,0,0.00
SKU-TAIL-019,475.99,0,0.00
SKU-TAIL-020,644.48,0,0.00
SKU-TAIL-021,419.60,0,0.00
SKU-TAIL-022,734.11,0,0.00
SKU-TAIL-023,782.29,0,0.00
SKU-SMALL-001,70.90,1.8,230.78
SKU-SMALL-002,84.96,1.2,366.99
SKU-SMALL-003,57.46,1.7,332.05
SKU-SMALL-004,59.52,1.3,133.48
SKU-SMALL-005,85.67,1.3,511.65
SKU-SMALL-006,99.52,0.6,352.62
SKU-SMALL-007,81.90,0.0,315.05
SKU-SMALL-008,24.33,0.2,54.40
SKU-SMALL-009,93.35,0.3,279.16
SKU-SMALL-010,49.96,1.7,116.02
SKU-SMALL-011,56.66,1.1,313.53
SKU-SMALL-012,99.22,1.7,308.94
SKU-SMALL-013,52.76,0.7,292.12
SKU-SMALL-014,115.14,0.3,311.44
SKU-SMALL-015,31.68,0.5,124.81
SKU-SMALL-016,72.75,0.5,146.69
SKU-SMALL-017,53.18,0.7,226.83
SKU-SMALL-018,114.61,1.4,465.54
SKU-SMALL-019,76.02,1.4,168.46
SKU-SMALL-020,108.45,1.6,596.26
SKU-SMALL-021,96.76,0.8,347.94
SKU-SMALL-022,16.91,1.3,38.03
SKU-SMALL-023,12.74,0.4,33.75
SKU-SMALL-024,44.11,0.1,88.26
SKU-SMALL-025,22.40,0.2,77.38
SKU-SMALL-026,7.93,1.7,35.34
SKU-SMALL-027,22.08,0.5,74.84
SKU-SMALL-028,46.88,0.2,252.95
SKU-SMALL-029,119.21,0.9,469.13
SKU-SMALL-030,14.88,0.2,50.15
SKU-SMALL-031,35.45,1.7,93.79
SKU-SMALL-032,7.66,1.9,31.51
SKU-SMALL-033,21.86,1.1,46.08
SKU-SMALL-034,65.73,2.0,358.45
SKU-SMALL-035,85.06,0.5,294.89
SKU-SMALL-036,24.21,1.5,100.00
SKU-SMALL-037,94.59,0.7,273.57
SKU-SMALL-038,98.32,2.0,531.96
SKU-SMALL-039,97.70,1.6,484.54
SKU-SMALL-040,31.08,1.0,106.36
SKU-SMALL-041,8.33,0.1,25.97
SKU-SMALL-042,34.81,1.4,202.81
SKU-SMALL-043,56.43,1.9,335.88
SKU-SMALL-044,114.83,0.7,330.92
SKU-SMALL-045,31.09,0.4,87.60
SKU-SMALL-046,76.77,1.8,411.62
SKU-SMALL-047,60.14,1.3,312.64
SKU-SMALL-048,14.75,1.3,83.18
SKU-SMALL-049,94.96,1.5,371.50
SKU-SMALL-050,25.53,1.6,85.02
SKU-SMALL-051,97.09,1.9,347.91
SKU-SMALL-052,51.16,1.9,250.64
SKU-SMALL-053,24.55,0.3,63.94
SKU-SMALL-054,109.06,1.6,281.89
SKU-SMALL-055,100.05,2.0,463.14
SKU-SMALL-056,45.30,1.1,114.33
SKU-SMALL-057,6.64,1.9,30.54
SKU-SMALL-058,65.56,1.9,244.88
SKU-SMALL-059,105.25,1.7,299.35
